label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Normal,272,411,608,588,35.jpg,1020,2660
Normal,344,444,602,607,35n.jpg,1088,2656
Normal,246,378,770,641,36.jpg,1092,2660
Normal,250,431,765,584,36n.jpg,1092,2660
Normal,196,268,703,684,37.jpg,1088,2660
Normal,449,627,670,655,38.jpg,1320,2180
Normal,58,315,664,626,38n.jpg,1040,2656
Normal,837,890,665,708,39.jpg,2180,2660
Normal,65,219,337,343,39n.png,517,1024
Normal,483,702,678,612,40.jpg,1332,2180
Normal,191,454,655,689,41.jpg,1012,2660
Normal,670,933,751,852,41n.jpg,2180,2660
Normal,186,153,737,818,42.jpg,1088,2660
Normal,796,846,667,638,43.jpg,2430,1994
Normal,377,709,537,548,44.jpg,1040,1992
Normal,276,401,535,564,44n.jpg,1104,2656
Normal,922,728,599,595,45.jpg,2430,1994
Normal,853,821,585,538,46.jpg,2430,1994
Normal,975,839,581,520,47.jpg,2386,1994
Normal,200,497,621,578,47n.jpg,856,2656
Normal,778,839,674,638,48.jpg,2430,1994
Normal,617,785,678,603,49.jpg,2430,1994
Normal,832,886,628,631,50.jpg,2430,1994
Normal,200,473,664,611,50n.jpg,952,2656
Normal,470,770,545,505,51.jpg,1160,1992
Normal,1065,699,552,581,52.jpg,2430,1994
Normal,656,796,638,613,53.jpg,2430,1994
Normal,176,568,659,592,53n.jpg,1096,2656
Normal,846,861,563,524,54.jpg,2430,1994
Normal,1033,613,542,559,55.jpg,2430,1994
Normal,979,775,513,549,56.jpg,2430,1994
Normal,305,148,621,683,56n.jpg,1048,2656
Normal,850,778,606,606,57.jpg,2430,1994
Normal,50,258,341,322,57n.png,531,1024
Normal,152,511,611,669,59.jpg,1048,2656
Normal,222,463,721,611,62.jpg,1072,2656
Normal,22,368,346,282,64n.JPEG,470,1024
Normal,227,444,678,568,65.jpg,1064,2656
Normal,257,395,689,634,68.jpg,1248,2176
Normal,127,370,335,320,69.png,555,1024
Normal,197,245,254,291,70n.JPEG,504,1024
Normal,175,383,536,498,71.jpg,960,2660
Normal,89,449,640,583,74.jpg,1008,2656
Normal,46,478,616,554,77.jpg,1008,2656
Normal,237,444,616,592,80.jpg,1064,2656
Normal,336,392,611,693,83.jpg,1128,2656
Normal,298,282,669,745,86.jpg,1120,2656
Normal,62,254,289,300,87.png,436,1024
Normal,240,358,635,688,89.jpg,1080,2656
Normal,87,413,300,293,91n.JPEG,482,1024
Normal,80,583,611,650,92.jpg,1056,2656
Normal,112,339,712,645,95.jpg,1024,2656
Normal,122,329,280,335,96.png,518,928
Normal,236,387,621,717,98n.jpg,1024,2656
Normal,187,320,635,726,101.jpg,1040,2656
Normal,276,478,602,659,104.jpg,1056,2656
Normal,149,377,654,669,107.jpg,1128,2656
Normal,181,731,592,530,110.jpg,952,2656
Normal,130,435,315,359,115n.JPEG,558,1024
Normal,102,540,326,344,118n.JPEG,528,1024
Normal,119,486,336,307,123.png,492,998
Normal,394,788,604,596,125.jpg,1312,2180
Normal,268,306,516,654,128.jpg,1088,2656
Normal,78,230,350,372,132.png,492,998
Normal,180,287,746,689,133.jpg,1076,2660
Normal,144,320,616,607,135.jpg,1032,2656
Normal,216,511,702,650,137.jpg,1128,2656
Normal,167,268,698,641,138.png,1040,2660
Normal,210,306,726,616,139.jpg,1144,2656
Normal,146,445,598,545,140.png,1113,2660
Normal,132,244,678,674,141.jpg,1008,2656
Normal,180,294,642,642,142n.png,976,1972
Normal,334,249,723,525,146n.png,1280,1896
Normal,271,191,702,731,148n.png,1123,2656
Normal,256,320,516,726,150.png,1064,2656
Normal,159,336,611,648,154.png,1088,2280
Normal,1105,785,606,624,155n.jpg,2430,1994
Normal,247,225,635,635,156.png,1123,2656
Normal,744,1136,581,677,157n.jpg,1994,2430
Normal,256,349,611,645,158n.png,1064,2656
Normal,609,354,612,639,160n.png,1344,2520
Normal,264,473,545,588,162n.png,1195,2656
Normal,229,512,593,564,164n.png,1096,2659
Normal,242,67,640,635,166n.png,1113,2656
Normal,242,435,645,688,168n.png,1131,2656
Normal,129,258,693,645,170n.png,1107,2656
Normal,220,445,502,507,172n.png,1107,2659
Normal,287,400,698,584,174n.png,1387,2179
Normal,320,322,570,595,176n.png,1208,2296
Normal,340,301,530,497,178n.png,1147,2656
Normal,387,349,525,525,180n.png,1163,2656
Normal,335,353,640,607,182n.png,1099,2656
Normal,159,315,631,654,184n.png,1024,2656
Normal,36,392,731,788,186n.png,1016,2656
Normal,735,767,588,617,187n.jpg,2430,1994
Normal,269,393,580,642,188n.png,1072,2480
Normal,351,530,616,688,190n.png,1131,2656
Normal,262,287,712,721,192n.png,1163,2656
Normal,196,401,631,678,194n.png,1163,2656
Normal,231,244,679,636,196.png,1139,2659
Normal,233,411,607,616,198n.png,1123,2656
Normal,297,396,588,597,200n.png,1032,2656
Normal,389,683,602,506,202n.png,1235,2656
Normal,285,482,537,471,204n.png,1383,2180
Normal,1081,649,567,595,205n.jpg,2362,1994
Normal,311,435,650,670,210.png,1099,2659
Normal,176,162,650,635,212.png,1096,2656
Normal,198,233,658,670,214n.png,1080,2272
Normal,383,196,540,573,216n.png,1099,2656
Normal,264,430,602,616,218n.png,1032,2656
Normal,163,244,635,631,220n.png,1040,2656
Normal,197,143,640,645,222n.png,1147,2656
Normal,744,1132,573,603,225.jpg,1994,2430
Normal,170,498,538,552,230n.png,1221,1993
Normal,832,620,563,610,233n.jpg,2430,1994
Normal,958,592,556,556,234n.jpg,2430,1994
Normal,943,735,577,588,237n.jpg,2430,1994
Normal,280,215,684,737,256n.png,1103,2660
Normal,310,454,665,636,258n.png,1048,2660
Normal,196,311,732,698,259n.png,1032,2660
Normal,334,402,617,588,260n.png,1107,2660
Normal,186,206,651,727,265n.png,1107,2660
Normal,190,474,641,727,266.png,1028,2660
Normal,181,483,622,665,267n.png,1107,2660
Normal,206,828,595,598,271n.png,1313,1992
Normal,85,335,320,363,275n.JPEG,530,1024
Normal,132,418,311,346,278n.JPEG,524,1024
Normal,47,158,789,804,283.jpg,1068,2660
Normal,244,397,679,651,284n.jpg,1128,2660
Normal,287,426,708,679,285n.jpg,1136,2660
Normal,128,421,617,627,286n.jpg,1068,2660
Normal,316,431,632,732,292n.jpg,1108,2660
Normal,240,498,617,655,293n.jpg,1072,2660
Normal,161,416,684,670,294n.jpg,1056,2660
Normal,139,368,617,660,295.jpg,1060,2660
Normal,1004,775,628,667,299n.jpg,2430,1994
Normal,767,595,577,624,300n.jpg,2430,1994
Normal,218,727,620,684,303n.jpg,1000,1992
Normal,599,886,567,585,311n.jpg,2430,1994
Normal,807,965,656,588,313n.jpg,2430,1994
Normal,979,631,617,549,315n.jpg,2430,1994
Normal,35,277,751,560,n5.jpg,1044,2660
Normal,950,814,595,606,n19.jpg,2430,1994
